"","X","Species","Limb_Width","Limb_Length","Observer","Volume"
"1",1,"Ursus arctos",9.32200267881731,68.6333496051255,"Bob",4684.28729301137
"2",2,"Ursus maritimus",11.5258030145835,53.2364254939132,"Bobby",5554.45118826787
"3",3,"Ursus thibetanus",15.2783204972456,52.6599109476733,"Bobbette",9654.3098663781
"4",4,"Ailuropoda melanoleuca",9.74513796542408,74.5221914648432,"Bobbette",5558.42158088283
"5",5,"Ursus arctos",12.1623472625504,73.8407485659881,"Bobby",8578.68597758472
"6",6,"Ursus arctos",13.2316644267873,35.60842031034,"Bob",4896.33974744719
"7",7,"Ailuropoda melanoleuca",13.4919770294442,27.1073009558567,"Bobbette",3875.49646518818
"8",8,"Ailuropoda melanoleuca",16.6921253225503,45.8087466092717,"Bobby",10024.473307628
"9",9,"Ursus arctos",11.1501030788255,72.8307901464597,"Bob",7111.52379712253
"10",10,"Ailuropoda melanoleuca",6.06180910247069,69.7899462981337,"Bob",2014.12887914249
"11",11,"Ursus arctos",11.3068652001139,69.3123386903318,"Bobby",6959.60935573614
"12",12,"Ursus arctos",10.3159260496793,66.0948448293939,"Bobbette",5524.25743826782
"13",13,"Ursus arctos",13.3751087417369,82.3488997545085,"Bobbette",11570.2388815439
"14",14,"Ursus americanus",11.8796851422216,62.7078815063873,"Bob",6950.59319789319
"15",15,"Ursus arctos",9.7540146111024,49.6757758624984,"Bobby",3711.94338651073
"16",16,"Ursus arctos",12.3541101069557,78.4017676225125,"Bob",9398.06990404074
"17",17,"Ursus maritimus",14.488651159997,61.8194311554764,"Bobbette",10192.2671425349
"18",18,"Ursus thibetanus",13.9478431436381,24.5206941010135,"Bobbette",3746.59500887184
"19",19,"Ursus americanus",10.7701903710982,105.810504590222,"Bobbette",9639.74235510682
"20",20,"Ursus arctos",10.5438457817276,64.976241041416,"Bobbette",5673.38890325338
"21",21,"Ursus maritimus",9.87112064526994,54.9418908713325,"Bobby",4204.61662462886
"22",22,"Ursus maritimus",16.8472525412551,45.7532138490206,"Bobby",10199.2833927763
"23",23,"Ursus thibetanus",12.4605075992185,80.896821522727,"Bob",9864.90275386912
"24",24,"Ursus arctos",13.1025553707757,83.185700591652,"Bobbette",11216.3245501269
"25",25,"Ursus maritimus",11.0478586351173,81.9899656314086,"Bobby",7859.71507818558
"26",26,"Ursus thibetanus",12.2426768257967,70.3374884555724,"Bobby",8279.98421969674
"27",27,"Ursus arctos",8.97866023216081,38.6135325178774,"Bob",2444.85153019409
"28",28,"Ursus arctos",17.8234763963121,65.5814841135796,"Bobby",16362.7370979876
"29",29,"Ursus thibetanus",12.6066765014724,56.5827727607234,"Bobbette",7062.7742375944
"30",30,"Ursus maritimus",9.56759896755029,31.2199203998188,"Bobbette",2244.54129187311
"31",31,"Ailuropoda melanoleuca",10.3555937026752,56.9640969083558,"Bobby",4797.78854755478
"32",32,"Ailuropoda melanoleuca",12.2385556640344,70.2179604189206,"Bobby",8260.34957539369
"33",33,"Ursus thibetanus",13.0331651652344,50.9212911986424,"Bobby",6793.42971795891
"34",34,"Ailuropoda melanoleuca",11.0926665814048,63.0712317980107,"Bob",6095.27231377181
"35",35,"Ailuropoda melanoleuca",15.8001679364702,43.799674147831,"Bobbette",8587.84439777561
"36",36,"Ursus thibetanus",14.4387877007699,48.0902905465757,"Bobbette",7874.24174828737
